Inference for Stan model: ACNQSRR101_model
4 chains: each with iter=(1000,1000,1000,1000); warmup=(0,0,0,0); thin=(1,1,1,1); 4000 iterations saved.
Warmup took (17843, 16651, 16844, 17598) seconds, 19 hours total
Sampling took (15824, 16193, 15319, 15923) seconds, 18 hours total
                        Mean     MCSE   StdDev        5%       50%       95%    N_Eff  N_Eff/s    R_hat
lp__                1.4e+004 4.7e+000 8.1e+001  1.4e+004  1.4e+004  1.4e+004 3.0e+002 4.7e-003 1.0e+000
accept_stat__       9.2e-001 1.6e-002 1.2e-001  6.9e-001  9.7e-001  1.0e+000 5.7e+001 9.0e-004 1.0e+000
stepsize__          2.1e-003 2.2e-004 3.1e-004  1.8e-003  2.2e-003  2.6e-003 2.0e+000 3.2e-005 1.2e+014
treedepth__         1.0e+001      nan 1.7e-013  1.0e+001  1.0e+001  1.0e+001      nan      nan 1.0e+000
n_leapfrog__        1.0e+003      nan 1.8e-011  1.0e+003  1.0e+003  1.0e+003      nan      nan 1.0e+000
divergent__         0.0e+000      nan 0.0e+000  0.0e+000  0.0e+000  0.0e+000      nan      nan      nan
energy__           -1.3e+004 4.9e+000 9.0e+001 -1.3e+004 -1.3e+004 -1.2e+004 3.3e+002 5.3e-003 1.0e+000
logkwHat            7.1e+000 1.5e-002 1.7e-001  6.8e+000  7.1e+000  7.4e+000 1.2e+002 2.0e-003 1.0e+000
logkaHat            5.3e-002 3.9e-003 7.3e-002 -6.6e-002  5.2e-002  1.7e-001 3.5e+002 5.5e-003 1.0e+000
logS2Hat            3.8e-001 1.4e-003 2.4e-002  3.4e-001  3.8e-001  4.2e-001 2.7e+002 4.3e-003 1.0e+000
sigma               1.2e-002 2.4e-005 4.8e-004  1.1e-002  1.2e-002  1.3e-002 4.0e+002 6.3e-003 1.0e+000
omega[1]            7.3e-001 2.7e-003 3.6e-002  6.7e-001  7.3e-001  7.8e-001 1.7e+002 2.7e-003 1.0e+000
omega[2]            3.3e-001 1.0e-003 1.7e-002  3.0e-001  3.2e-001  3.5e-001 2.7e+002 4.3e-003 1.0e+000
omega[3]            1.2e-001 3.6e-004 5.8e-003  1.1e-001  1.2e-001  1.3e-001 2.6e+002 4.1e-003 1.0e+000
rho[1,1]            1.0e+000      nan 6.7e-016  1.0e+000  1.0e+000  1.0e+000      nan      nan 1.0e+000
rho[1,2]            6.2e-001 1.2e-003 2.8e-002  5.7e-001  6.2e-001  6.7e-001 5.2e+002 8.3e-003 1.0e+000
rho[1,3]           -1.4e-001 4.2e-003 5.2e-002 -2.3e-001 -1.4e-001 -5.9e-002 1.5e+002 2.3e-003 1.0e+000
rho[2,1]            6.2e-001 1.2e-003 2.8e-002  5.7e-001  6.2e-001  6.7e-001 5.2e+002 8.3e-003 1.0e+000
rho[2,2]            1.0e+000      nan 6.7e-016  1.0e+000  1.0e+000  1.0e+000      nan      nan 1.0e+000
rho[2,3]           -2.8e-001 2.3e-003 4.6e-002 -3.5e-001 -2.8e-001 -2.0e-001 4.0e+002 6.3e-003 1.0e+000
rho[3,1]           -1.4e-001 4.2e-003 5.2e-002 -2.3e-001 -1.4e-001 -5.9e-002 1.5e+002 2.3e-003 1.0e+000
rho[3,2]           -2.8e-001 2.3e-003 4.6e-002 -3.5e-001 -2.8e-001 -2.0e-001 4.0e+002 6.3e-003 1.0e+000
rho[3,3]            1.0e+000      nan 6.7e-016  1.0e+000  1.0e+000  1.0e+000      nan      nan 1.0e+000
nu                  2.3e+000 1.2e-002 2.0e-001  2.0e+000  2.3e+000  2.6e+000 2.9e+002 4.7e-003 1.0e+000
nuobs               1.3e+000 2.4e-003 5.3e-002  1.2e+000  1.3e+000  1.4e+000 5.0e+002 7.9e-003 1.0e+000
nupi                1.0e+001 4.9e-001 9.8e+000  2.3e+000  7.0e+000  3.0e+001 4.0e+002 6.3e-003 1.0e+000
beta[1]             2.6e+000 6.2e-003 7.5e-002  2.5e+000  2.6e+000  2.8e+000 1.5e+002 2.3e-003 1.0e+000
beta[2]             4.0e-001 1.6e-003 3.1e-002  3.5e-001  4.0e-001  4.5e-001 3.5e+002 5.5e-003 1.0e+000
beta[3]            -1.8e-002 5.7e-004 1.1e-002 -3.7e-002 -1.8e-002 -4.6e-004 3.7e+002 5.9e-003 1.0e+000
param[1,1]          5.8e-001 5.5e-003 1.1e-001  4.2e-001  5.7e-001  7.6e-001 4.1e+002 6.6e-003 1.0e+000
param[1,2]         -1.9e+000 9.7e-003 2.2e-001 -2.2e+000 -1.9e+000 -1.5e+000 4.9e+002 7.8e-003 1.0e+000
param[1,3]          6.6e-001 6.4e-003 1.3e-001  4.6e-001  6.4e-001  8.9e-001 4.3e+002 6.7e-003 1.0e+000
param[2,1]          1.4e+000 1.2e-003 2.6e-002  1.4e+000  1.4e+000  1.5e+000 4.7e+002 7.5e-003 1.0e+000
param[2,2]         -9.2e-001 1.5e-003 3.1e-002 -9.8e-001 -9.1e-001 -8.8e-001 4.6e+002 7.3e-003 1.0e+000
param[2,3]          2.1e-001 1.9e-003 3.7e-002  1.4e-001  2.1e-001  2.6e-001 4.0e+002 6.4e-003 1.0e+000
param[3,1]          2.2e+000 3.8e-003 7.8e-002  2.0e+000  2.1e+000  2.3e+000 4.2e+002 6.6e-003 1.0e+000
param[3,2]         -1.3e+000 7.4e-004 1.9e-002 -1.3e+000 -1.3e+000 -1.3e+000 6.3e+002 9.9e-003 1.0e+000
param[3,3]          8.1e-001 1.5e-003 3.1e-002  7.6e-001  8.0e-001  8.6e-001 4.3e+002 6.8e-003 1.0e+000
param[4,1]          2.0e+000 1.0e-002 2.2e-001  1.8e+000  2.0e+000  2.4e+000 4.3e+002 6.9e-003 1.0e+000
param[4,2]         -6.5e-001 3.3e-003 7.5e-002 -7.7e-001 -6.4e-001 -5.3e-001 5.0e+002 8.0e-003 1.0e+000
param[4,3]          1.6e-001 7.0e-003 1.5e-001 -6.6e-002  1.5e-001  4.0e-001 4.4e+002 7.0e-003 1.0e+000
param[5,1]          1.0e+000 3.0e-003 6.5e-002  9.3e-001  1.0e+000  1.1e+000 4.7e+002 7.5e-003 1.0e+000
param[5,2]         -5.2e-001 4.0e-003 7.6e-002 -6.6e-001 -5.1e-001 -4.2e-001 3.5e+002 5.6e-003 1.0e+000
param[5,3]          5.6e-001 5.6e-003 1.1e-001  3.6e-001  5.8e-001  7.2e-001 3.7e+002 5.9e-003 1.0e+000
param[6,1]          4.8e+000 1.2e-002 2.5e-001  4.4e+000  4.8e+000  5.2e+000 4.3e+002 6.7e-003 1.0e+000
param[6,2]         -4.0e-001 8.5e-004 2.1e-002 -4.4e-001 -4.0e-001 -3.7e-001 6.3e+002 1.0e-002 1.0e+000
param[6,3]          2.8e-001 2.7e-003 5.5e-002  1.8e-001  2.8e-001  3.7e-001 4.1e+002 6.4e-003 1.0e+000
param[7,1]          1.1e+000 5.2e-003 7.0e-002  1.0e+000  1.1e+000  1.3e+000 1.9e+002 3.0e-003 1.0e+000
param[7,2]         -2.8e+000 2.9e-002 3.9e-001 -3.6e+000 -2.7e+000 -2.4e+000 1.9e+002 3.0e-003 1.0e+000
param[7,3]          3.0e-001 9.6e-003 1.3e-001  5.5e-002  3.2e-001  4.4e-001 1.8e+002 2.8e-003 1.0e+000
param[8,1]          3.4e+000 6.1e-003 1.4e-001  3.2e+000  3.3e+000  3.6e+000 5.2e+002 8.2e-003 1.0e+000
param[8,2]         -6.1e-001 1.2e-003 3.0e-002 -6.6e-001 -6.1e-001 -5.6e-001 6.2e+002 9.8e-003 1.0e+000
param[8,3]          2.9e-001 2.2e-003 5.1e-002  2.1e-001  2.9e-001  3.8e-001 5.1e+002 8.1e-003 1.0e+000
param[9,1]          1.7e+000 2.1e-003 4.2e-002  1.6e+000  1.7e+000  1.8e+000 3.8e+002 6.0e-003 1.0e+000
param[9,2]         -8.6e-001 2.4e-003 4.7e-002 -9.4e-001 -8.6e-001 -7.8e-001 3.7e+002 5.9e-003 1.0e+000
param[9,3]          4.5e-001 2.5e-003 4.6e-002  3.7e-001  4.5e-001  5.2e-001 3.3e+002 5.1e-003 1.0e+000
param[10,1]         3.8e-001 6.2e-003 1.0e-001  2.6e-001  3.7e-001  5.3e-001 2.8e+002 4.4e-003 1.0e+000
param[10,2]        -1.8e+000 6.8e-003 1.5e-001 -2.0e+000 -1.8e+000 -1.6e+000 4.6e+002 7.3e-003 1.0e+000
param[10,3]         7.3e-001 5.5e-003 1.0e-001  5.6e-001  7.3e-001  8.9e-001 3.5e+002 5.6e-003 1.0e+000
param[11,1]         1.6e+000 1.3e-002 1.6e-001  1.4e+000  1.5e+000  1.9e+000 1.4e+002 2.2e-003 1.0e+000
param[11,2]        -9.8e-001 2.0e-003 3.9e-002 -1.0e+000 -9.8e-001 -9.1e-001 3.9e+002 6.1e-003 1.0e+000
param[11,3]         4.4e-001 5.5e-003 7.5e-002  3.4e-001  4.3e-001  5.9e-001 1.8e+002 2.9e-003 1.0e+000
param[12,1]         2.6e+000 3.5e-003 6.3e-002  2.5e+000  2.5e+000  2.7e+000 3.2e+002 5.0e-003 1.0e+000
param[12,2]        -1.0e+000 4.5e-003 8.8e-002 -1.2e+000 -1.0e+000 -9.0e-001 3.7e+002 5.9e-003 1.0e+000
param[12,3]         3.8e-001 3.0e-003 5.2e-002  3.0e-001  3.8e-001  4.7e-001 3.2e+002 5.0e-003 1.0e+000
param[13,1]         9.6e-001 2.1e-002 3.8e-001  3.1e-001  1.0e+000  1.5e+000 3.2e+002 5.0e-003 1.0e+000
param[13,2]        -1.7e+000 2.1e-002 4.2e-001 -2.4e+000 -1.6e+000 -1.1e+000 4.2e+002 6.7e-003 1.0e+000
param[13,3]         8.0e-001 1.0e-002 2.0e-001  4.8e-001  8.0e-001  1.1e+000 4.0e+002 6.3e-003 1.0e+000
param[14,1]         1.8e+000 1.7e-003 3.1e-002  1.7e+000  1.8e+000  1.8e+000 3.5e+002 5.5e-003 1.0e+000
param[14,2]        -8.6e-001 6.3e-004 1.3e-002 -8.8e-001 -8.6e-001 -8.4e-001 4.5e+002 7.1e-003 1.0e+000
param[14,3]         4.7e-001 1.2e-003 2.2e-002  4.4e-001  4.8e-001  5.1e-001 3.3e+002 5.2e-003 1.0e+000
param[15,1]         2.3e+000 3.8e-003 7.9e-002  2.2e+000  2.3e+000  2.5e+000 4.3e+002 6.8e-003 1.0e+000
param[15,2]        -2.3e+000 6.5e-003 1.4e-001 -2.5e+000 -2.2e+000 -2.0e+000 4.5e+002 7.0e-003 1.0e+000
param[15,3]         5.4e-001 2.7e-003 5.5e-002  4.5e-001  5.4e-001  6.3e-001 4.0e+002 6.4e-003 1.0e+000
param[16,1]         2.8e+000 8.9e-003 1.4e-001  2.5e+000  2.8e+000  2.9e+000 2.5e+002 3.9e-003 1.0e+000
param[16,2]        -4.7e-001 2.9e-003 5.1e-002 -5.6e-001 -4.5e-001 -4.0e-001 3.1e+002 4.9e-003 1.0e+000
param[16,3]         4.5e-001 4.6e-003 7.1e-002  3.1e-001  4.6e-001  5.4e-001 2.4e+002 3.8e-003 1.0e+000
param[17,1]         2.1e+000 1.8e-003 4.1e-002  2.0e+000  2.1e+000  2.1e+000 5.4e+002 8.5e-003 1.0e+000
param[17,2]        -1.2e+000 1.3e-003 2.8e-002 -1.2e+000 -1.2e+000 -1.1e+000 4.7e+002 7.5e-003 1.0e+000
param[17,3]         5.1e-001 1.3e-003 2.6e-002  4.6e-001  5.1e-001  5.5e-001 4.3e+002 6.8e-003 1.0e+000
param[18,1]         2.3e+000 8.6e-003 1.8e-001  2.1e+000  2.3e+000  2.7e+000 4.2e+002 6.7e-003 1.0e+000
param[18,2]        -6.8e-001 1.4e-002 3.0e-001 -1.2e+000 -6.3e-001 -2.7e-001 4.9e+002 7.7e-003 1.0e+000
param[18,3]        -6.5e-002 1.7e-002 3.2e-001 -6.2e-001 -3.0e-003  3.4e-001 3.7e+002 5.9e-003 1.0e+000
param[19,1]         2.1e+000 2.6e-003 5.6e-002  2.0e+000  2.1e+000  2.2e+000 4.9e+002 7.7e-003 1.0e+000
param[19,2]        -8.5e-001 3.2e-003 6.9e-002 -9.6e-001 -8.6e-001 -7.3e-001 4.6e+002 7.2e-003 1.0e+000
param[19,3]         3.4e-001 2.7e-003 5.3e-002  2.6e-001  3.3e-001  4.4e-001 4.0e+002 6.4e-003 1.0e+000
param[20,1]         3.2e+000 7.8e-003 1.2e-001  3.0e+000  3.2e+000  3.4e+000 2.5e+002 3.9e-003 1.0e+000
param[20,2]        -8.9e-001 7.8e-004 1.6e-002 -9.2e-001 -8.9e-001 -8.7e-001 4.4e+002 7.0e-003 1.0e+000
param[20,3]         5.6e-001 2.0e-003 3.2e-002  5.1e-001  5.6e-001  6.1e-001 2.7e+002 4.3e-003 1.0e+000
param[21,1]         7.8e+000 4.1e-002 1.1e+000  6.1e+000  7.8e+000  9.6e+000 6.9e+002 1.1e-002 1.0e+000
param[21,2]         5.3e-001 1.7e-003 4.9e-002  4.7e-001  5.2e-001  6.2e-001 8.7e+002 1.4e-002 1.0e+000
param[21,3]         1.1e-002 8.0e-003 1.8e-001 -3.3e-001  3.5e-002  2.6e-001 5.4e+002 8.5e-003 1.0e+000
param[22,1]         6.4e+000 3.1e-002 6.6e-001  5.4e+000  6.3e+000  7.5e+000 4.5e+002 7.2e-003 1.0e+000
param[22,2]        -6.9e-001 1.2e-003 2.9e-002 -7.4e-001 -7.0e-001 -6.5e-001 5.3e+002 8.4e-003 1.0e+000
param[22,3]         5.5e-001 3.6e-003 7.6e-002  4.4e-001  5.5e-001  6.8e-001 4.4e+002 6.9e-003 1.0e+000
param[23,1]         6.6e+000 5.9e-002 8.7e-001  5.5e+000  6.4e+000  8.3e+000 2.2e+002 3.5e-003 1.0e+000
param[23,2]        -6.3e-001 4.3e-003 7.9e-002 -7.8e-001 -6.3e-001 -5.1e-001 3.3e+002 5.2e-003 1.0e+000
param[23,3]         5.0e-001 6.7e-003 1.0e-001  3.5e-001  4.8e-001  6.9e-001 2.3e+002 3.7e-003 1.0e+000
param[24,1]         4.6e+000 9.9e-003 2.1e-001  4.3e+000  4.6e+000  4.9e+000 4.7e+002 7.5e-003 1.0e+000
param[24,2]        -9.0e-001 1.3e-003 2.9e-002 -9.4e-001 -9.0e-001 -8.4e-001 5.1e+002 8.1e-003 1.0e+000
param[24,3]         5.1e-001 2.1e-003 4.3e-002  4.4e-001  5.1e-001  5.8e-001 4.3e+002 6.9e-003 1.0e+000
param[25,1]         5.4e+000 1.5e-002 3.1e-001  4.9e+000  5.4e+000  5.9e+000 4.2e+002 6.6e-003 1.0e+000
param[25,2]        -1.0e+000 8.9e-004 1.9e-002 -1.0e+000 -1.0e+000 -9.7e-001 4.7e+002 7.4e-003 1.0e+000
