ID;concentration;logk;logP_ACD;MW_ACD;PSA_ACD
1;0.05;0.027829;-0.12;194.19;92.42
1;0.1;-0.36074;-0.12;194.19;92.42
1;0.2;-0.85337;-0.12;194.19;92.42
1;0.3;-1.02;-0.12;194.19;92.42
2;0.05;1.1196;1.27;137.14;63.32
2;0.1;0.89229;1.27;137.14;63.32
2;0.2;0.48562;1.27;137.14;63.32
2;0.3;0.18175;1.27;137.14;63.32
2;0.4;-0.068823;1.27;137.14;63.32
2;0.5;-0.26794;1.27;137.14;63.32
2;0.6;-0.44997;1.27;137.14;63.32
2;0.7;-0.6322;1.27;137.14;63.32
2;0.8;-0.69157;1.27;137.14;63.32
3;0.05;1.1829;-0.63;194.19;58.44
3;0.1;0.60151;-0.63;194.19;58.44
3;0.2;-0.13162;-0.63;194.19;58.44
3;0.3;-0.45803;-0.63;194.19;58.44
3;0.4;-0.74224;-0.63;194.19;58.44
3;0.5;-0.81675;-0.63;194.19;58.44
3;0.6;-0.96455;-0.63;194.19;58.44
3;0.7;-1.1203;-0.63;194.19;58.44
3;0.8;-1.1811;-0.63;194.19;58.44
4;0.2;0.97457;0.9;160.17;52.6
4;0.3;0.65104;0.9;160.17;52.6
4;0.4;0.36205;0.9;160.17;52.6
4;0.5;0.1243;0.9;160.17;52.6
4;0.6;-0.067372;0.9;160.17;52.6
4;0.7;-0.28978;0.9;160.17;52.6
5;0.05;0.74152;-0.12;132.11;52.6
5;0.1;0.49708;-0.12;132.11;52.6
5;0.2;0.18497;-0.12;132.11;52.6
5;0.3;0.013216;-0.12;132.11;52.6
5;0.4;-0.14018;-0.12;132.11;52.6
6;0.3;1.9162;3.36;169.22;12.03
6;0.4;1.3625;3.36;169.22;12.03
6;0.5;0.90973;3.36;169.22;12.03
6;0.6;0.57513;3.36;169.22;12.03
6;0.7;0.27762;3.36;169.22;12.03
6;0.8;-0.013909;3.36;169.22;12.03
6;0.9;-0.20632;3.36;169.22;12.03
7;0.05;0.57291;1.08;165.23;32.26
7;0.1;0.15589;1.08;165.23;32.26
7;0.2;-0.54757;1.08;165.23;32.26
7;0.3;-1.28;1.08;165.23;32.26
8;0.2;1.6511;2.4;164.2;29.46
8;0.3;1.1456;2.4;164.2;29.46
8;0.4;0.70708;2.4;164.2;29.46
8;0.5;0.38178;2.4;164.2;29.46
8;0.6;0.11984;2.4;164.2;29.46
8;0.7;-0.10451;2.4;164.2;29.46
8;0.8;-0.32782;2.4;164.2;29.46
9;0.05;1.2707;-3.86;180.16;121.38
9;0.1;0.93937;-3.86;180.16;121.38
9;0.2;0.4387;-3.86;180.16;121.38
9;0.3;0.10968;-3.86;180.16;121.38
9;0.4;-0.12577;-3.86;180.16;121.38
9;0.5;-0.33642;-3.86;180.16;121.38
10;0.05;-0.17556;-0.66;142.11;66.76
10;0.1;-0.51851;-0.66;142.11;66.76
10;0.2;-0.97081;-0.66;142.11;66.76
11;0.05;1.339;1.28;124.14;40.46
11;0.1;0.77652;1.28;124.14;40.46
11;0.2;0.30958;1.28;124.14;40.46
11;0.3;-0.0036041;1.28;124.14;40.46
11;0.4;-0.26551;1.28;124.14;40.46
11;0.5;-0.44121;1.28;124.14;40.46
11;0.6;-0.61354;1.28;124.14;40.46
12;0.05;1.9913;0.53;232.24;75.27
12;0.1;1.5855;0.53;232.24;75.27
12;0.2;0.90567;0.53;232.24;75.27
12;0.3;0.4169;0.53;232.24;75.27
12;0.4;0.059839;0.53;232.24;75.27
13;0.05;0.22934;0.061;126.11;60.69
13;0.1;-0.31094;0.061;126.11;60.69
14;0.05;1.339;-2.65;152.15;101.15
14;0.1;0.98029;-2.65;152.15;101.15
14;0.2;0.45748;-2.65;152.15;101.15
14;0.3;0.11861;-2.65;152.15;101.15
14;0.4;-0.11679;-2.65;152.15;101.15
14;0.5;-0.33206;-2.65;152.15;101.15
14;0.6;-0.48091;-2.65;152.15;101.15
14;0.7;-0.60206;-2.65;152.15;101.15
14;0.8;-0.71403;-2.65;152.15;101.15
15;0.05;1.4542;1.59;334.41;32.78
15;0.1;0.82749;1.59;334.41;32.78
15;0.2;-0.093468;1.59;334.41;32.78
15;0.3;-0.66781;1.59;334.41;32.78
16;0.1;1.8211;-0.84;242.23;99.1
16;0.2;1.1638;-0.84;242.23;99.1
16;0.3;0.76847;-0.84;242.23;99.1
16;0.4;0.44865;-0.84;242.23;99.1
