Inference for Stan model: ACNQSRR101_model									
"4 chains: each with iter=(1000,1000,1000,1000); warmup=(0,0,0,0); thin=(1,1,1,1); 4000 iterations saved."									
"Warmup took (17843, 16651, 16844, 17598) seconds, 19 hours total"									
"Sampling took (15824, 16193, 15319, 15923) seconds, 18 hours total"									
	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
lp__	14000.00	4.70	81.00	14000.00	14000.00	14000.00	300.00	0.00	1.00
accept_stat__	0.92	0.02	0.12	0.69	0.97	1.00	57.00	0.00	1.00
stepsize__	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	1.2E+14
treedepth__	10.00	nan	0.00	10.00	10.00	10.00	nan	nan	1.00
n_leapfrog__	1000.00	nan	0.00	1000.00	1000.00	1000.00	nan	nan	1.00
divergent__	0.00	nan	0.00	0.00	0.00	0.00	nan	nan	nan
energy__	-13000.00	4.90	90.00	-13000.00	-13000.00	-12000.00	330.00	0.01	1.00
logkwHat	7.10	0.02	0.17	6.80	7.10	7.40	120.00	0.00	1.00
logkaHat	0.05	0.00	0.07	-0.07	0.05	0.17	350.00	0.01	1.00
logS2Hat	0.38	0.00	0.02	0.34	0.38	0.42	270.00	0.00	1.00
sigma	0.01	0.00	0.00	0.01	0.01	0.01	400.00	0.01	1.00
omega[1]	0.73	0.00	0.04	0.67	0.73	0.78	170.00	0.00	1.00
omega[2]	0.33	0.00	0.02	0.30	0.32	0.35	270.00	0.00	1.00
omega[3]	0.12	0.00	0.01	0.11	0.12	0.13	260.00	0.00	1.00
"rho[1,1]"	1.00	nan	0.00	1.00	1.00	1.00	nan	nan	1.00
"rho[1,2]"	0.62	0.00	0.03	0.57	0.62	0.67	520.00	0.01	1.00
"rho[1,3]"	-0.14	0.00	0.05	-0.23	-0.14	-0.06	150.00	0.00	1.00
"rho[2,1]"	0.62	0.00	0.03	0.57	0.62	0.67	520.00	0.01	1.00
"rho[2,2]"	1.00	nan	0.00	1.00	1.00	1.00	nan	nan	1.00
"rho[2,3]"	-0.28	0.00	0.05	-0.35	-0.28	-0.20	400.00	0.01	1.00
"rho[3,1]"	-0.14	0.00	0.05	-0.23	-0.14	-0.06	150.00	0.00	1.00
"rho[3,2]"	-0.28	0.00	0.05	-0.35	-0.28	-0.20	400.00	0.01	1.00
"rho[3,3]"	1.00	nan	0.00	1.00	1.00	1.00	nan	nan	1.00
nu	2.30	0.01	0.20	2.00	2.30	2.60	290.00	0.00	1.00
nuobs	1.30	0.00	0.05	1.20	1.30	1.40	500.00	0.01	1.00
nupi	10.00	0.49	9.80	2.30	7.00	30.00	400.00	0.01	1.00
beta[1]	2.60	0.01	0.08	2.50	2.60	2.80	150.00	0.00	1.00
beta[2]	0.40	0.00	0.03	0.35	0.40	0.45	350.00	0.01	1.00
beta[3]	-0.02	0.00	0.01	-0.04	-0.02	0.00	370.00	0.01	1.00
spilogkw	0.83	0.01	0.10	0.68	0.82	0.99	270.00	0.00	1.00
spidlogk	0.25	0.00	0.05	0.17	0.25	0.34	200.00	0.00	1.00
spilogS2	0.07	0.00	0.01	0.06	0.07	0.09	340.00	0.01	1.00
mpilogkw	0.50	0.01	0.06	0.40	0.50	0.61	160.00	0.00	1.00
mpidlogk	0.38	0.00	0.05	0.30	0.38	0.47	140.00	0.00	1.00
"Omega[1,1]"	0.53	0.00	0.05	0.44	0.53	0.62	170.00	0.00	1.00
"Omega[1,2]"	0.15	0.00	0.02	0.12	0.15	0.18	250.00	0.00	1.00
"Omega[1,3]"	-0.01	0.00	0.00	-0.02	-0.01	-0.01	200.00	0.00	1.00
"Omega[2,1]"	0.15	0.00	0.02	0.12	0.15	0.18	250.00	0.00	1.00
"Omega[2,2]"	0.11	0.00	0.01	0.09	0.11	0.13	270.00	0.00	1.00
"Omega[2,3]"	-0.01	0.00	0.00	-0.01	-0.01	-0.01	490.00	0.01	1.00
"Omega[3,1]"	-0.01	0.00	0.00	-0.02	-0.01	-0.01	200.00	0.00	1.00
"Omega[3,2]"	-0.01	0.00	0.00	-0.01	-0.01	-0.01	490.00	0.01	1.00
"Omega[3,3]"	0.02	0.00	0.00	0.01	0.02	0.02	260.00	0.00	1.00
...									
Samples were drawn using hmc with nuts.									
"For each parameter, N_Eff is a crude measure of effective sample size,"									
and R_hat is the potential scale reduction factor on split chains (at 									
"convergence, R_hat=1)."									
