No,functionalGroupName
7,thioaldehyde
8,thioketone
12,thiosemicarbazone
13,oxime
15,ketene
17,carbonyl hydrate
23,thioacetal
36,enediol
43,peroxide
44,hydroperoxide
58,tert. arom_amine
66,alkyl iodide
86,carboxylic acid azide
89,carboxylic acid amidrazone
92,acyl fluoride
93,acyl chloride
94,acyl bromide
95,acyl iodide
96,acyl cyanide
97,imido ester
98,imidoyl halide
100,thiocarboxylic acid
102,thiolactone
104,thiolactam
105,imido_thioester
107,thioxohetarene
110,carboxylic acid orthoester
111,carboxylic acid amide acetal
112,carboxylic acid anhydride
118,carbonic acid monoester
120,carbonic acid ester halide
123,thiocarbonic acid diester
124,thiocarbonic acid ester halide
128,carbamic acid halide
132,thiocarbamic acid halide
139,thiosemicarbazide
141,azo compound
143,isonitrile
144,cyanate
145,isocyanate
146,thiocyanate
148,carbodiimide
151,nitrite
152,nitrate
155,sulfuric acid monoester
156,sulfuric acid diester
158,sulfuric acid amide
163,sulfonic acid ester
169,sulfinic acid
170,sulfinic acid ester
171,sulfinic acid halide
172,sulfinic acid amide
174,sulfenic acid
175,sulfenic acid ester
176,sulfenic acid halide
177,sulfenic acid amide
179,alkylthiol
184,phosphoric acid halide
189,thiophosphoric acid halide
194,phosphine
195,phosphinoxide
197,boronic acid
198,boronic acid ester
